valor;m2;quartos;vagas;banheiros;iptu;condominio;data_anuncio;link;imagem;data;cidade;bairro;latitude;longitude;hash_imagem;hash_str
455000;70;2;1;2;332;751;2025-09-26 21:26:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/apartamento-em-itaipava2-quartos-com-vista-pra-o-verde-e-sol-da-manha-1375913332;imagens\809548138667735.webp;2025-09-27;Petrópolis;Itaipava;-22.4127;-43.1421;ffde00000040df7f;ffde00000040df7f
430000;56;2;1;1;110;210;2025-09-26 11:12:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/palmeiras-do-prado-apartamento-em-andar-alto-com-acabamento-fino-padrao-e-vista-livre-1429353081;imagens\119505194936684.webp;2025-09-27;Petrópolis;Corrêas;-22.4425647;-43.1397058;ffff7f5330202010;ffff7f5330202010
150000;62;1;;1;;;2025-09-25 14:37:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/vende-se-casa-no-quissama-1439941059;imagens\686564086666094.webp;2025-09-27;Petrópolis;Quissama;-22.4928689;-43.1590803;800002dee0e0fcfc;800002dee0e0fcfc
1950000;157;4;3;1;389;1.010;2025-09-27 13:53:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-com-4-quartos-em-condominio-em-araras-petropolis-1440455330;imagens\617521442792009.webp;2025-09-27;Petrópolis;Araras;-22.4251562;-43.2214961;ddd0ac0337721f86;ddd0ac0337721f86
4200000;4600;4;2;3;300;1.560;2025-09-27 13:53:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-com-4-quartos-em-condominio-em-araras-petropolis-1440455332;imagens\621572563578972.webp;2025-09-27;Petrópolis;Araras;-22.4251562;-43.2214961;9093110000674fff;9093110000674fff
2800000;210;4;2;2;644;2.742;2025-09-27 13:46:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/cobertura-com-4-quartos-em-itaipava-petropolis-1440454425;imagens\308522685419225.webp;2025-09-27;Petrópolis;Itaipava;-22.4127;-43.1421;7e7e3a2233393c7c;7e7e3a2233393c7c
7900000;1000;5;4;1;30;1.500;2025-09-27 13:46:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-com-7-quartos-no-vale-das-videiras-1440454247;imagens\676521682967213.webp;2025-09-27;Petrópolis;Araras;-22.4251562;-43.2214961;1a1f0731643d130e;1a1f0731643d130e
4300000;264;4;4;1;520;700;2025-09-27 13:46:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-com-4-quartos-em-condominio-em-araras-petropolis-1440454144;imagens\262550560109725.webp;2025-09-27;Petrópolis;Araras;-22.4251562;-43.2214961;d000202066ffffff;d000202066ffffff
5200000;450;4;5;1;1.290;1.998;2025-09-27 13:40:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-com-4-quartos-em-condominio-em-itaipava-petropolis-1440453227;imagens\394526440306290.webp;2025-09-27;Petrópolis;Itaipava;-22.4127;-43.1421;fe7f001c0003ffff;fe7f001c0003ffff
3990000;400;4;3;2;500;1.100;2025-09-27 13:40:00;https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-linear-com-4-quartos-em-araras-petropolis-1440452828;imagens\894523565840298.webp;2025-09-27;Petrópolis;Bonsucesso;-22.4086108;-43.1493971;3f1f1f0700107eff;3f1f1f0700107eff
